age,nbh,cbd,intst,price,rooms,area,land,baths,dist,wind
0,6,24000,25000,97900,7,2464,43560,3,26400,11
0,6,24000,25000,78400,6,1862,45302,2,26300,11
0,6,24000,26000,91400,8,2738,43995,2,27000,11
0,6,25000,26000,106500,7,2240,43995,3,27100,11
0,6,24000,26000,109500,7,2780,43995,3,27000,11
1,1,14000,16000,148000,7,2781,43560,3,15600,11
12,1,16000,19000,75000,6,1537,48352,2,17700,11
1,1,14000,16000,90400,7,2796,43560,3,15600,11
1,1,14000,16000,125000,9,2794,43995,3,15600,11
158,6,22000,23000,123000,9,2872,104544,3,33300,11
30,6,21000,22000,63000,6,1357,45302,1,25600,7
188,6,21000,23000,87500,7,3256,44867,2,25300,11
0,0,30000,31000,73000,7,2038,49223,2,33300,11
0,0,25000,26000,84900,7,1924,44431,3,28100,11
0,0,25000,26000,80900,7,2370,43560,3,27300,11
0,0,25000,26000,94000,7,2036,51836,3,27200,11
0,0,30000,31000,74500,7,1818,55321,2,33200,11
1,5,33000,34000,82500,7,1986,50094,3,36700,11
3,5,31000,32000,86000,6,1855,50965,2,34600,11
1,5,30000,30000,76900,6,1836,46174,3,33300,11
1,5,30000,30000,75900,7,1836,45738,2,33300,11
0,5,30000,30000,75500,7,1820,46174,3,33300,11
0,5,30000,30000,75000,7,1728,47916,2,33300,11
0,5,30000,30000,73900,6,2092,47045,3,33300,11
0,5,33000,34000,83900,7,2036,46174,3,36800,11
1,5,33000,34000,76900,7,2400,43560,3,37100,11
0,5,30000,31000,84300,7,2104,68689,3,33200,11
0,5,30000,31000,75900,7,1928,157252,3,33300,11
0,5,30000,31000,87900,7,2067,204296,3,33300,11
13,2,26000,26000,65000,7,1360,43910,2,30100,7
0,2,26000,26000,90000,7,1940,43996,3,30000,7
5,2,26000,26000,104500,7,2816,43560,3,29900,7
14,2,24000,25000,63000,6,1235,95832,2,28400,7
5,2,27000,27000,66100,7,1388,46600,2,31000,7
6,2,27000,27000,60000,7,1070,48834,1,31000,7
4,2,27000,28000,73000,7,1390,46100,2,31000,11
3,2,24000,25000,83000,9,2574,43996,3,28200,7
1,5,28000,29000,70500,6,1232,45000,2,32300,11
4,5,28000,28000,120000,6,2650,43996,3,32000,7
12,5,31000,32000,62500,6,1978,44867,2,35700,7
1,5,28000,29000,65500,6,1248,45000,2,32800,11
9,5,27000,28000,84900,7,1716,45500,2,31300,7
9,5,31000,31000,63400,6,1144,44431,1,35600,7
2,5,30000,30000,80000,7,2450,44867,3,34500,7
2,0,23000,24000,86000,7,2952,43996,3,28200,7
0,0,23000,24000,94376,7,2800,69260,3,28400,7
0,0,23000,24000,90500,7,2108,52272,3,28000,7
2,0,24000,24000,90500,7,2208,54014,3,28400,7
0,0,24000,24000,84900,7,1560,44864,3,28600,7
2,0,24000,24000,86000,7,2248,49222,3,28300,7
6,2,22000,23000,91500,7,2284,44001,3,27800,7
23,2,21000,21000,89912,7,2632,64904,2,27000,7
23,2,21000,21000,88000,7,2632,64904,2,27000,7
14,2,19000,19000,73500,6,1936,43996,2,25200,7
8,2,21000,21000,85000,8,2004,44080,2,26700,7
13,2,21000,21000,87000,7,1920,44260,2,26200,7
5,2,20000,20000,97000,7,2136,44000,3,25800,7
3,2,24000,24000,72500,7,2472,46422,3,29000,7
4,2,24000,23000,77000,7,1792,45106,3,29000,7
5,2,23000,23000,85000,7,2136,117176,3,28100,7
4,2,20000,20000,82000,8,2016,44900,3,25800,7
0,2,20000,20000,93000,6,2514,43996,3,26000,7
0,2,20000,20000,105000,7,2432,43663,3,25600,7
0,2,20000,20000,106500,7,2878,43560,3,25600,7
15,3,26000,26000,44900,5,960,51690,1,31700,7
11,0,19000,18000,73000,7,1868,56900,3,25900,5
11,3,29000,28000,46500,6,1296,94961,2,35200,7
13,3,29000,28000,50000,6,1668,43560,2,35700,7
0,3,29000,28000,90000,7,2052,43560,3,35400,7
1,0,33000,33000,49500,6,1100,38768,1,38600,7
28,0,35000,34000,57000,5,1320,64033,1,40000,7
9,0,11000,13000,120000,6,3030,47916,3,14800,7
3,0,14000,15000,83500,6,1924,42688,2,18900,7
0,0,11000,12000,300000,7,3770,282704,3,15500,7
3,0,12000,12000,64900,7,2856,29955,2,17700,7
58,4,6000,6000,50900,5,930,8185,1,13400,5
12,4,7000,6000,60500,6,1399,10000,2,13600,5
3,4,6000,5000,70400,5,1342,8500,2,13500,5
48,4,6000,7000,48000,6,1500,5153,2,11800,5
25,0,10000,10000,53500,7,1333,11883,1,16800,5
8,6,24000,26000,66000,6,1844,92783,2,26200,11
8,6,24000,26000,64000,6,1764,86249,2,26000,11
11,0,15000,15000,65000,7,2727,44867,3,21300,7
10,0,14000,13000,72900,7,2080,25000,2,19700,7
2,0,13000,13000,26000,7,2030,25120,3,19400,7
0,0,14000,14000,117000,7,3030,32255,3,21000,5
0,0,14000,13000,97000,7,2252,30894,3,20200,5
2,0,13000,13000,95000,7,2238,25690,3,19800,5
0,0,14000,13000,107900,7,2464,30945,3,20500,5
0,0,14000,14000,120000,7,2464,31059,3,20900,5
1,0,14000,14000,120000,7,2502,34666,3,21100,5
0,0,14000,14000,121000,7,2510,31915,3,20900,5
0,0,14000,13000,107000,7,2012,30800,3,20800,5
0,0,14000,13000,119900,7,2352,31331,3,20500,5
0,0,14000,13000,142500,7,2492,27248,3,20300,5
0,0,14000,13000,84211,7,2756,27205,3,20200,5
81,4,4000,1000,49000,6,1554,6790,1,11800,4
71,4,3000,2000,52000,5,1575,3485,1,10100,3
31,4,3000,2000,68000,6,3304,18731,2,10200,3
41,4,3000,2000,54000,6,1700,7500,1,11200,3
31,4,4000,2000,70000,6,1454,5500,2,11800,3
81,4,3000,2000,47000,6,1410,4500,1,10200,3
19,0,5000,4000,73900,6,1592,13068,1,13200,3
1,0,9000,9000,117500,9,1910,15246,3,18200,5
41,0,10000,10000,60000,5,735,10454,1,19000,5
1,0,16000,15000,85000,6,1154,43560,2,23000,5
26,0,9000,7000,66479,5,1104,15512,1,17000,3
81,4,1000,3000,70000,6,1830,13939,1,9000,3
41,4,3000,4000,66500,5,1166,9770,1,10500,3
31,4,4000,4000,91000,7,2263,10019,2,11500,5
31,4,4000,4000,72500,6,1482,12632,1,11900,5
36,4,4000,4000,67000,4,970,11104,1,11900,5
21,1,8000,12000,68000,6,1684,81273,2,5800,11
18,2,18000,18000,85000,6,1080,52272,2,24100,7
13,4,3000,5000,106000,6,1633,17728,2,10500,5
24,4,4000,5000,130000,7,3208,17424,3,11500,5
0,0,11000,10000,119900,7,2258,12500,3,18800,5
1,0,12000,10000,125000,7,2016,12632,3,18900,5
0,0,12000,10000,118000,7,1991,12632,3,18900,5
0,0,12000,10000,100000,7,1746,13504,3,19000,5
1,0,12000,10000,128000,7,2700,13504,3,19000,5
0,0,11000,10000,140000,7,2302,13504,3,18800,5
0,0,11000,10000,143500,6,2144,12806,3,18400,5
59,4,2000,6000,66500,5,1867,5000,1,6800,3
51,0,2000,5000,50000,5,1140,13945,1,7100,3
25,0,4000,5000,65000,5,912,12005,1,11100,5
20,0,7000,7000,86000,6,1425,19550,1,14000,5
131,0,12000,12000,120000,9,3798,50045,2,19000,5
0,0,11000,11000,135000,7,2252,34879,3,18300,5
0,0,11000,11000,135000,7,2252,34879,3,18300,5
0,0,12000,11000,160000,7,2836,37046,3,18500,5
0,0,12000,11000,168000,7,2486,30808,3,18600,5
0,0,12000,11000,182095,7,3074,25159,3,18500,5
0,0,12000,11000,175000,7,3074,25265,3,18500,5
0,0,11000,11000,162000,7,3232,25380,3,18400,5
0,0,12000,12000,189857,7,3396,31412,4,18700,5
0,0,12000,12000,190508,7,2464,37026,3,18900,5
0,0,12000,12000,234552,7,3252,29671,3,19000,5
0,0,12000,11000,220000,7,3040,29621,3,19000,5
0,0,12000,11000,175000,7,3055,25265,3,18900,5
11,0,13000,16000,118000,7,1731,14810,2,5000,7
1,1,11000,14000,155000,9,2996,45738,3,8700,11
0,1,11000,14000,144000,7,2464,46174,3,8600,11
0,1,10000,13000,216000,7,2548,46174,3,8800,11
0,1,10000,13000,124500,6,3398,63260,4,9900,11
0,1,10000,13000,80000,6,1988,65212,3,8100,11
0,1,10000,14000,100000,7,5136,47916,3,8200,11
81,4,3000,6000,88000,6,2327,35538,1,7800,5
41,4,3000,7000,41000,6,936,8276,1,6300,5
121,4,7000,3000,66000,7,1674,54886,1,7600,5
7,4,4000,7000,74000,5,1587,5957,2,9600,5
1,0,4000,7000,76900,5,1531,3049,2,7200,5
0,0,7000,9000,132000,7,2574,43757,3,12300,7
0,0,6000,8000,130000,7,2644,35284,2,11900,5
39,0,10000,10000,75000,6,1456,18215,1,16100,5
2,0,10000,11000,156500,7,2464,31215,3,16000,7
8,0,10000,10000,140000,8,2400,29226,3,16000,5
81,0,11000,11000,65000,6,1760,32670,2,17300,5
6,0,12000,12000,150000,6,3132,26136,3,17800,7
2,0,13000,13000,155000,7,2688,28688,2,19000,5
0,6,23000,25000,153000,7,2656,43996,3,24500,11
0,6,23000,25000,160000,7,2738,43560,3,24600,11
0,6,23000,25000,148000,7,2736,43560,3,24600,11
0,6,23000,25000,142000,8,3726,43935,3,24500,11
1,6,22000,24000,162000,7,2656,45302,3,24100,11
0,6,22000,24000,175500,8,3284,43996,3,24000,11
1,6,22000,24000,194000,9,3170,45302,3,23900,11
0,6,24000,25000,130500,6,2330,43995,2,26800,11
29,1,16000,19000,73000,6,1564,48787,1,17200,11
0,1,16000,18000,140000,6,2248,49829,3,17100,11
29,1,17000,19000,82000,6,1566,43996,1,18300,11
2,1,15000,17000,180000,7,2744,77101,3,16500,11
0,1,16000,18000,200000,7,2470,64745,3,16600,11
51,6,22000,23000,52900,6,1199,54450,1,25500,7
17,6,21000,23000,110000,6,2204,45302,2,25200,11
0,6,22000,24000,68000,7,2400,45738,3,25200,11
2,6,22000,23000,90000,7,3152,51835,2,25000,11
2,6,22000,23000,102000,7,3152,51835,2,25000,11
0,6,22000,24000,119600,7,2701,48787,3,25300,11
2,0,25000,26000,113500,7,2000,43569,3,28000,11
11,2,27000,28000,80500,7,1286,44200,2,30900,11
19,2,25000,26000,75900,6,1344,78408,2,29800,7
2,2,23000,24000,109000,6,1232,49384,2,27000,11
6,2,24000,24000,160000,7,4056,69465,3,27900,7
8,2,25000,25000,120000,7,2364,43996,3,29300,7
0,2,25000,26000,135900,7,2377,43560,3,29600,7
6,5,27000,28000,121000,7,2706,43996,3,31800,7
15,5,31000,32000,85000,6,1978,44867,2,35700,7
3,5,28000,28000,133000,7,2756,43573,3,32100,7
0,5,31000,31000,143000,7,2576,49223,3,35400,7
2,5,32000,33000,130000,7,2528,45738,3,36800,7
0,5,32000,32000,135000,7,2464,46609,3,36700,7
2,5,31000,31000,141000,7,2920,43560,3,35000,7
0,5,31000,31000,125000,7,2548,43560,3,35000,7
0,0,24000,24000,172900,7,2580,53579,3,29100,7
0,0,24000,24000,177755,7,2738,45973,3,28600,7
0,0,25000,25000,125000,7,2208,45738,3,29500,7
0,0,23000,23000,173500,7,2900,43560,3,28200,7
0,0,23000,23000,169000,7,3292,43560,3,28100,7
0,0,24000,24000,167950,6,2472,52708,3,28800,7
0,0,23000,24000,145000,7,2569,43560,3,28600,7
0,0,23000,23000,159900,7,2464,47480,3,28400,7
0,0,23000,23000,172267,7,2826,46598,3,28300,7
0,0,23000,23000,156900,7,2464,43908,3,28300,7
0,0,23000,23000,169900,7,2832,43560,3,28100,7
7,2,23000,23000,129900,7,2056,65340,3,28300,7
26,2,21000,21000,109900,7,2632,64904,2,27000,7
13,2,18000,19000,120000,6,2528,44431,3,24500,7
7,2,22000,22000,140000,6,1800,44867,3,28100,7
7,2,23000,23000,83000,6,1182,44247,1,28900,7
0,2,21000,21000,175000,7,2738,59790,3,26600,7
7,2,20000,20000,117500,8,2016,44900,3,25800,7
0,2,20000,20000,155500,7,2610,44431,3,25800,7
2,2,20000,20000,158000,7,2627,43560,3,25600,7
7,0,20000,19000,115000,6,1848,46300,2,26500,5
6,3,27000,26000,133500,7,2648,46609,3,33000,7
4,3,26000,26000,128000,7,2464,43560,3,32700,7
5,3,30000,29000,105000,7,1998,67954,3,36400,7
16,0,33000,33000,90000,6,1549,44431,1,38900,7
12,0,11000,13000,270000,7,3334,43560,3,15000,7
26,0,13000,14000,70000,6,1526,28314,1,17600,7
3,0,14000,15000,98000,6,1197,50965,2,18700,7
1,0,12000,13000,103900,7,1836,35284,3,17400,7
6,0,12000,12000,101100,7,2856,29955,2,17700,7
1,0,12000,13000,107900,7,1836,35121,2,17600,7
15,4,6000,6000,62000,6,1133,5000,1,13800,5
1,4,6000,5000,96750,7,1242,23087,2,13400,5
36,4,6000,6000,79500,5,2216,10000,2,13400,5
0,4,6000,5000,97900,7,1226,13068,2,13100,5
0,4,6000,5000,103900,7,1910,20909,2,13200,5
3,4,5000,6000,70000,6,1728,10938,2,12800,5
26,0,10000,10000,175000,6,1842,29130,2,16900,5
65,0,10000,10000,80000,5,2384,10000,2,17000,5
25,0,10000,10000,60000,6,1388,7500,1,16900,5
0,6,24000,26000,144500,7,3140,48787,3,25000,11
20,0,15000,15000,97000,6,1296,44867,2,21300,7
19,0,14000,15000,95000,5,1148,44182,2,20500,7
0,0,13000,13000,204080,7,2261,45465,3,19400,5
